index_counter,name,latitude,longitude,region,auth_area,elevation
798,South Wheatley,53.3613,-0.8529,East Midlands,Nottinghamshire,20
799,Southborough,51.1576,0.262,South East,Kent,115
800,Southbourne,50.7243,-1.7942,South West,Bournemouth,22
801,Southport,53.6455,-3.0087,North West,Merseyside,4
802,Southwark,51.504,-0.1052,South East,Greater London,6
803,Speke,53.3408,-2.8406,North West,Merseyside,29
804,Sron A' Choire Ghairbh,57.0074,-4.9287,Northern Scottish Highlands,Highland,935
805,St Catherine's Bay,59.1199,-2.6326,Orkney and Shetland,Orkney Islands,0
806,Standon,51.0383,-1.3876,South East,Hampshire,64
807,Stanley Green,50.7355,-1.9798,South West,Poole,7
808,Stanway House And Fountain,51.9905,-1.9041,South West,Gloucestershire,147
809,Breighton,53.7966,-0.9225,Yorkshire & Humber,East Riding of Yorkshire,4
810,Brentwood Leisure Park,51.5927,0.2935,Eastern England,Essex,81
811,Bridge Of Weir,55.8566,-4.5764,Western Scotland,Renfrewshire,50
812,Bridgend (Fife),56.2963,-2.9782,Central Scotland,Fife,77
813,Brierley Hill,52.4818,-2.1189,West Midlands,West Midlands Conurbation,151
814,Brighton Racecourse,50.8319,-0.1011,South East,Brighton and Hove,109
815,Bristol Filton Airport,51.5177,-2.5802,South West,South Gloucestershire,57
816,Bristol International Airport,51.3829,-2.714,South West,North Somerset,185
817,Bristol Youth Hostel,51.4466,-2.5934,South West,Bristol,0
818,Briton Ferry,51.6317,-3.8231,Wales,Neath Port Talbot,7
819,Broadhembury,50.8337,-3.2741,South West,Devon,145
820,Brodick Castle Garden,55.5934,-5.1662,Western Scotland,North Ayrshire,27
821,Bromborough,53.3346,-2.9766,North West,Merseyside,29
822,Bromford,52.5099,-1.8326,West Midlands,West Midlands Conurbation,92
823,Bromley (Greater London),51.4056,0.0148,South East,Greater London,65
824,Bromley Ski Centre,51.405,0.1278,South East,Greater London,60
825,Brook Cottage Gardens (Alkerton),52.0864,-1.4558,South East,Oxfordshire,172
826,Broughton Mills,54.3054,-3.1948,North West,Cumbria,41
827,Bruera,53.1395,-2.8411,North West,Cheshire West and Chester,17
828,Brundish,52.277,1.3306,Eastern England,Suffolk,45
829,Bulwell,53.0022,-1.1998,East Midlands,Nottingham,47
830,Bungay,52.4551,1.4457,Eastern England,Suffolk,5
831,Kirkwall Airport,58.9585,-2.8939,Orkney and Shetland,Orkney Islands,11
832,Kirroughtree Mountain Bike Trail Centre,54.9507,-4.4233,Scottish Border,Dumfries and Galloway,39
833,Knighton (Leicester),52.6025,-1.1171,East Midlands,Leicester,68
834,Knockhill Motor Racing Circuit,56.1255,-3.4985,Central Scotland,Fife,232
835,Kyle Of Tongue,58.4913,-4.4374,Northern Scottish Highlands,Highland,0
836,Laggan Wolftrax Mountain Bike Trail Centre,57.0129,-4.2918,Northern Scottish Highlands,Highland,268
837,Lairg,58.0223,-4.401,Northern Scottish Highlands,Highland,89
838,Lambeth,51.4922,-0.1178,South East,Greater London,25
839,Lambhill,55.8962,-4.2843,Western Scotland,Glasgow,65
840,Lambourn,51.5075,-1.5301,South East,West Berkshire,128
841,Lanark,55.6739,-3.7808,Western Scotland,South Lanarkshire,194
842,Land's End Youth Hostel,50.1134,-5.6913,South West,Cornwall,102
843,Langtoft,52.6965,-0.3381,East Midlands,Lincolnshire,6
844,Lanhydrock,50.4402,-4.691,South West,Cornwall,76
845,Lapal,52.4513,-2.0231,West Midlands,West Midlands Conurbation,187
846,Largs,55.7934,-4.866,Western Scotland,North Ayrshire,6
847,Laughton,53.4665,-0.7251,East Midlands,Lincolnshire,7
848,Laurencekirk,56.8314,-2.471,Eastern Scottish Highlands,Aberdeenshire,81
849,Laxey,54.2283,-4.4035,North West,none,103
850,Layer Marney Tower,51.8206,0.7916,Eastern England,Essex,30
851,Stob A' Choire Odhair,56.5694,-4.8339,Western Scotland,Argyll and Bute,947
852,Stob Choire Raineach,56.6525,-4.95,Northern Scottish Highlands,Highland,925
853,Stob Na Broige,56.6311,-4.9519,Northern Scottish Highlands,Highland,956
854,Stob Poite Coire Ardair,56.9644,-4.5841,Northern Scottish Highlands,Highland,1053
855,Stokesley,54.4718,-1.1837,Yorkshire & Humber,North Yorkshire,66
856,Storrington,50.9178,-0.4528,South East,West Sussex,40
857,Strachan,57.02,-2.5397,Eastern Scottish Highlands,Aberdeenshire,80
858,Studley Royal,54.1158,-1.5765,Yorkshire & Humber,North Yorkshire,103
859,Sturminster Newton,50.9247,-2.3033,South West,Dorset,60
860,Carbis Bay Beach (Station) (Beach),50.1984,-5.4624,South West,Cornwall,0
861,St Ives - Porthmeor (Beach),50.2158,-5.4823,South West,Cornwall,0
862,Mounts Bay - Penzance (Beach),50.1263,-5.5181,South West,Cornwall,0
863,Kennack Sands (Beach),50.0051,-5.1614,South West,Cornwall,0
864,Pentewan Sands (Beach),50.2884,-4.7821,South West,Cornwall,0
865,Downderry (Beach),50.3609,-4.348,South West,Cornwall,0
866,Ilfracombe - Tunnels Beach (Beach),51.2098,-4.1286,South West,Devon,0
867,Hope Cove (Beach),50.2438,-3.8595,South West,Devon,0
868,Oban Airport,56.4634,-5.3994,Western Scotland,Argyll and Bute,6
869,Bowling,53.7813,-1.7305,Yorkshire & Humber,West Yorkshire,178
870,Shaldon (Beach),50.5402,-3.5033,South West,Devon,0
871,Dawlish - Coryton Cove (Beach),50.5752,-3.4685,South West,Devon,0
872,Dawlish Warren (Beach),50.6019,-3.435,South West,Devon,0
873,Church Ope Cove (Beach),50.5383,-2.428,South West,Dorset,0
874,Magilligan,55.1604,-6.9492,Northern Ireland,County Londonderry,6
875,Ringstead Bay (Beach),50.6311,-2.3554,South West,Dorset,0
876,Poole - Canford Cliffs (Beach),50.703,-1.916,South West,Poole,0
877,Bournemouth - Pier (Beach),50.7157,-1.8755,South West,Bournemouth,0
878,Ventnor (Beach),50.5931,-1.2084,South East,Isle of Wight,0
879,Old Portsmouth Beach (Victoria Pier) (Beach),50.7901,-1.108,South East,Portsmouth,0
880,Eastney (Beach),50.7849,-1.0469,South East,Portsmouth,0
881,Hayling Island - West Of Eastoke (Beach),50.781,-0.9671,South East,Hampshire,0
882,Felpham (Beach),50.7876,-0.6409,South East,West Sussex,0
883,Saltdean (Beach),50.8002,-0.0415,South East,East Sussex,0
884,Brighton (Beach),50.8179,-0.1296,South East,Brighton and Hove,0
885,Eastbourne (Aurn),50.7617,0.2843,South East,East Sussex,28
886,Joss Bay (Beach),51.3794,1.4464,South East,Kent,0
887,Westbrook Bay (Beach),51.3856,1.3632,South East,Kent,0
888,Cromer (Beach),52.9328,1.3002,Eastern England,Norfolk,0
889,Ingoldmells South (Beach),53.1912,0.355,East Midlands,Lincolnshire,0
890,Skipsea (Beach),53.9902,-0.2049,Yorkshire & Humber,East Riding of Yorkshire,0
891,Whitby (Beach),54.4921,-0.6241,Yorkshire & Humber,North Yorkshire,0
892,Marsden (Beach),54.9778,-1.378,North East,South Tyneside,0
893,Tynemouth - King Edwards Bay (Beach),55.019,-1.4199,North East,North Tyneside,0
894,Tynemouth - Long Sands North (Beach),55.0297,-1.4293,North East,North Tyneside,0
895,Formby (Beach),53.5478,-3.1027,North West,Merseyside,0
896,Prestatyn Barkby Beach (Beach),53.3456,-3.4033,Wales,Denbighshire,0
897,Kinmel Bay (Sandy Cove) (Beach),53.314,-3.5241,Wales,Conwy,0
898,Old Colwyn (Beach),53.2941,-3.6996,Wales,Conwy,0
899,Porth Tywyn Mawr (Sandy Beach),53.336,-4.5702,Wales,Isle of Anglesey,0
900,Rhoscolyn - Silver Bay (Beach),53.2451,-4.5894,Wales,Isle of Anglesey,0
901,Llanfaelog,53.2154,-4.5041,Wales,Isle of Anglesey,0
902,Aberporth (Beach),52.1349,-4.5473,Wales,Ceredigion,0
903,Penarth (Beach),51.4398,-3.1648,Wales,Vale of Glamorgan,0
904,Plemont (Beach),49.2567,-2.2343,South West,Jersey,0
905,Dornoch - Burn Mouth (Beach),57.8567,-4.0182,Northern Scottish Highlands,Highland,0
906,Hopeman East (Beach),57.7107,-3.434,Eastern Scottish Highlands,Moray,0
907,Millport (Beach),55.7531,-4.9254,Western Scotland,North Ayrshire,0
908,Rosehearty (Beach),57.6983,-2.1111,Eastern Scottish Highlands,Aberdeenshire,0
909,Easthaven (Beach),56.5158,-2.665,Eastern Scottish Highlands,Angus,0
910,Elie (Woodhaven And Ruby Bay) (Beach),56.1897,-2.826,Central Scotland,Fife,0
911,"Whitmore Bay, Barry (Beach)",51.3901,-3.2745,Wales,Vale of Glamorgan,0
912,Southerndown (Beach),51.4448,-3.6067,Wales,Vale of Glamorgan,0
913,Porthcawl - Sandy Bay (Beach),51.4774,-3.6953,Wales,Bridgend,0
914,Pembrey Beach - Llanelli (Cefn Sidan) (Beach),51.6738,-4.3136,Wales,Carmarthenshire,0
915,Tenby - South (Beach),51.6665,-4.7029,Wales,Pembrokeshire,0
916,Whitesands (Beach),51.8953,-5.2965,Wales,Pembrokeshire,0
917,Blue Lagoon - Abereiddy Bay (Beach),51.9367,-5.2063,Wales,Pembrokeshire,0
918,Minehead - Terminus (Beach),51.2074,-3.4635,South West,Somerset,0
919,Slievemartin,54.0942,-6.1628,Northern Ireland,County Down,485
920,St Helens,50.697,-1.1123,South East,Isle of Wight,28
921,Steeple,54.4908,-3.2979,North West,Cumbria,841
922,Templepatrick,54.7029,-6.0971,Northern Ireland,County Antrim,56
923,The Old Man Of Coniston,54.3705,-3.1201,North West,Cumbria,803
924,Tryfan,53.1147,-3.9963,Wales,Conwy,917
925,Viewing Hill,54.6931,-2.3276,North East,Durham,649
926,Waun Fach,51.9624,-3.1419,Wales,Powys,811
927,Wether Fell,54.2757,-2.1939,Yorkshire & Humber,North Yorkshire,614
928,Yarlside,54.3812,-2.4839,North West,Cumbria,639
929,Allen Crags,54.4662,-3.1778,North West,Cumbria,785
930,Argyll,56.4291,-5.239,Western Scotland,Argyll and Bute,22
931,Blackcraig Hill,55.3331,-4.1321,Western Scotland,East Ayrshire,700
932,Blackhope Scar,55.7235,-3.0905,Scottish Border,Scottish Borders,651
933,Blacklorg Hill,55.3138,-4.1213,Western Scotland,Dumfries and Galloway,681
934,Bloodybush Edge,55.4229,-2.1545,North East,Northumberland,610
935,Buckden Pike,54.2047,-2.0601,Yorkshire & Humber,North Yorkshire,702
936,Cadair Idris,52.6993,-3.9076,Wales,Gwynedd,893
937,Carn Liath,57.2282,-3.237,Eastern Scottish Highlands,Aberdeenshire,792
938,Carnedd Dafydd,53.1475,-3.9996,Wales,Conwy,1044
939,Chimney Rock,54.1643,-5.9124,Northern Ireland,County Down,655
940,Cockayne Ridge,54.4002,-1.0643,Yorkshire & Humber,North Yorkshire,430
941,Craig Y Ffynnon,52.7598,-3.7241,Wales,Gwynedd,780
942,Craigellachie,57.4906,-3.1847,Eastern Scottish Highlands,Moray,103
943,Crinkle Crags,54.4378,-3.1575,North West,Cumbria,815
944,Crockbrack,54.8042,-6.8869,Northern Ireland,County Londonderry,528
945,Cwmystwyth,52.35817,-3.80198,Wales,Ceredigion,301
946,Dale Head,54.5271,-3.2009,North West,Cumbria,753
947,Dollywagon Pike,54.5086,-3.0098,North West,Cumbria,858
948,Earncraig Hill,55.295,-3.6176,Scottish Border,Dumfries and Galloway,611
949,Fontmell Magna,50.95049,-2.18403,South West,Dorset,90
950,Great Rhos,52.2667,-3.1986,Wales,Powys,660
951,Hart Fell,55.4081,-3.4,Scottish Border,Dumfries and Galloway,808
952,Hay Bluff,52.0225,-3.1014,Wales,Powys,677
953,High Raise,54.4758,-3.1099,North West,Cumbria,762
954,High Willhays,50.6847,-4.01,South West,Devon,621
955,Hudderstone,55.5282,-3.5494,Western Scotland,South Lanarkshire,626
956,Kinlochbervie,58.4578,-5.0469,Northern Scottish Highlands,Highland,21
957,Levington,52.0118,1.266,Eastern England,Suffolk,22
958,Little Fell,54.5953,-2.3389,North West,Cumbria,748
959,Loadpot Hill,54.5553,-2.8399,North West,Cumbria,670
960,Lochcraig Head,55.4454,-3.3168,Scottish Border,Scottish Borders,801
961,Lochinver,58.1495,-5.2403,Northern Scottish Highlands,Highland,5
962,Lynch Tor,50.6069,-4.0266,South West,Devon,517
963,Melmerby Fell,54.736,-2.5411,North West,Cumbria,709
964,Mullaghcloga,54.8058,-7.1317,Northern Ireland,County Tyrone,636
965,Pen Y Garn,52.3782,-3.7654,Wales,Ceredigion,610
966,Pillar,54.4973,-3.2798,North West,Cumbria,892
967,Pykestone Hill,55.568,-3.3116,Scottish Border,Scottish Borders,737
968,Queensberry,55.2816,-3.5917,Scottish Border,Dumfries and Galloway,697
969,Horton In Ribblesdale,54.1446,-2.2922,Yorkshire & Humber,North Yorkshire,228
970,Semerwater,54.2805,-2.1243,Yorkshire & Humber,North Yorkshire,262
971,Robin Hoods Bay,54.4343,-0.535,Yorkshire & Humber,North Yorkshire,49
972,Haytor,50.5803,-3.7551,South West,Devon,457
973,Merrivale,50.5573,-4.0523,South West,Devon,294
974,Hound Tor (Manaton),50.5972,-3.7778,South West,Devon,377
975,Burrator Reservoir,50.5001,-4.0375,South West,Devon,226
976,Tarr Steps,51.0771,-3.6176,South West,Somerset,208
977,Haddon Hill,51.0476,-3.4817,South West,Somerset,347
978,Dunster,51.1846,-3.4443,South West,Somerset,34
979,Bleaklow,53.4599,-1.8625,East Midlands,Derbyshire,636
980,Littleton Down,50.9257,-0.6572,South East,West Sussex,178
981,Chanctonbury Hill,50.8956,-0.3931,South East,West Sussex,248
982,Spelga Dam,54.1747,-6.0618,Northern Ireland,County Down,334
983,Luss,56.1015,-4.6389,Western Scotland,Argyll and Bute,8
984,Pont Nedd Fechan (Waterfalls),51.7561,-3.5943,Wales,Neath Port Talbot,64
985,Big Pit National Coal Museum,51.7719,-3.1062,Wales,Torfaen,392
986,Blaenavon Ironworks Heritage Centre,51.773,-3.0875,Wales,Torfaen,311
987,Donard Park Newcastle,54.2026,-5.8994,Northern Ireland,County Down,63
988,Carew Castle And Tidal Mill,51.6985,-4.8305,Wales,Pembrokeshire,2
989,Skomer Island,51.7379,-5.2972,Wales,Pembrokeshire,53
990,Oriel Y Parc,51.8804,-5.2607,Wales,Pembrokeshire,52
991,Ffestiniog,52.9603,-3.9311,Wales,Gwynedd,201
992,Foel Drygarn,51.9702,-4.6833,Wales,Pembrokeshire,343
993,Scolton Manor,51.8606,-4.9204,Wales,Pembrokeshire,73
994,Wasdale Head,54.468,-3.2559,North West,Cumbria,83
995,Arncliffe,54.1422,-2.1059,Yorkshire & Humber,North Yorkshire,213
996,Ardtalnaig,56.52809,-4.11049,Central Scotland,Perth and Kinross,130
997,Rhinog Fawr,52.84171,-3.99583,Wales,Gwynedd,734
998,Woodingdean,50.837,-0.06,South East,Brighton and Hove,180
999,Dane End,51.8749,0.0582,Northern Scottish Highlands,none,72
1000,Sheffield Airport,53.3944,-1.3886,Yorkshire & Humber,South Yorkshire,63
1001,Aviemore,57.206,-3.827,Northern Scottish Highlands,Highland,228
1002,Tiree,56.497,-6.887,Western Scotland,Argyll and Bute,9
1003,East Malling,51.283,0.45,South East,Kent,33
1004,Fyvie Castle,57.45,-2.383,Eastern Scottish Highlands,Aberdeenshire,55
1005,Sutton Bonington,52.833,-1.25,East Midlands,Nottinghamshire,48
1006,Culdrose,50.085,-5.257,South West,Cornwall,78
1007,Lizard Lighthouse,49.96,-5.202,South West,Cornwall,55
1008,Dunkeswell Aerodrome,50.86,-3.239,South West,Devon,252
1009,Bournemouth Airport,50.779,-1.835,South West,Dorset,10
1010,Belmullet,54.233,-10.001,Republic of Ireland,none,9
1011,Liscombe,51.087,-3.608,South West,Somerset,348
1012,Larkhill,51.201,-1.805,South West,Wiltshire,132
1013,Boscombe Down,51.161,-1.754,South West,Wiltshire,126
1014,Charlwood,51.15,-0.2333,South East,Surrey,67
1015,Leuchars,56.377,-2.862,Central Scotland,Fife,10
1016,Tynemouth,55.018,-1.415,North East,North Tyneside,33
1017,Fylingdales,54.362,-0.673,Yorkshire & Humber,North Yorkshire,262
1018,Valley,53.252,-4.537,Wales,Isle of Anglesey,10
1019,Bingley Samos,53.811,-1.865,Yorkshire & Humber,West Yorkshire,262
1020,Church Fenton,53.836,-1.197,Yorkshire & Humber,North Yorkshire,8
1021,Cranwell,53.031,-0.502,East Midlands,Lincolnshire,62
1022,Wainfleet,53.088,0.274,East Midlands,Lincolnshire,3
1023,Shawbury,52.794,-2.663,West Midlands,Shropshire,72
1024,Coventry,52.4065,-1.5182,West Midlands,West Midlands Conurbation,79
1025,Tunbridge Wells,51.1338,0.2651,South East,Kent,113
1026,Aberdeen,57.1498,-2.0927,Eastern Scottish Highlands,Aberdeen,19
1027,Rye,50.9492,0.7389,South East,East Sussex,5
1028,Andover,51.2066,-1.4798,South East,Hampshire,56
1029,Skipton,53.9634,-2.0104,Yorkshire & Humber,North Yorkshire,123
1030,Blackpool,53.8211,-3.0541,North West,Blackpool,12
1031,Brighton,50.822,-0.1356,South East,Brighton and Hove,8
1032,Chelmsford,51.7345,0.4778,Eastern England,Essex,21
1033,Gravesend,51.4414,0.3724,South East,Kent,18
1034,Hartlepool,54.6916,-1.2113,North East,Hartlepool,12
1035,Arbroath,56.5592,-2.59,Central Scotland,Angus,15
1036,Welshpool,52.66,-3.1451,Wales,Powys,80
1037,Maldon,51.7314,0.6731,Eastern England,Essex,34
1038,Garston,51.68,-0.38,Eastern England,Hertfordshire,64
1039,Girvan,55.2401,-4.853,Western Scotland,South Ayrshire,9
1040,New Holland,53.7,-0.37,Yorkshire & Humber,North Lincolnshire,2
1041,Penrith,54.664,-2.7513,North West,Cumbria,131
1042,Battle,50.9169,0.4853,South East,East Sussex,81
1043,Blyth,55.1269,-1.5087,North East,Northumberland,2
1044,Bodmin,50.4681,-4.714,South West,Cornwall,96
1045,Leith,55.9751,-3.1648,Scottish Border,Edinburgh,4
1046,Littlehampton,50.8105,-0.5371,South East,West Sussex,3
1047,Shotton,53.2131,-3.0418,Wales,Flintshire,10
1048,Thirsk,54.2337,-1.3398,Yorkshire & Humber,North Yorkshire,30
1049,Bishop Auckland,54.6637,-1.6772,North East,Durham,106
1050,Buxton,53.2588,-1.9134,East Midlands,Derbyshire,299
1051,Gainsborough,53.4003,-0.7729,East Midlands,Lincolnshire,4
1052,Huntingdon,52.3311,-0.1809,Eastern England,Cambridgeshire,11
1053,Sedbergh,54.3235,-2.5267,North West,Cumbria,129
1054,Durness,58.567,-4.75,Northern Scottish Highlands,Highland,26
1055,Port Glasgow,55.9323,-4.6785,Western Scotland,Inverclyde,18
1056,Ramsey (Cambridgeshire),52.4464,-0.1049,Eastern England,Cambridgeshire,5
1057,Irvine,55.6173,-4.6679,Western Scotland,North Ayrshire,11
1058,Kingsnorth,51.43,0.6,South East,Medway,1
1059,Croydon,51.3775,-0.0933,South East,Greater London,55
1060,Alfreton,53.0972,-1.3807,East Midlands,Derbyshire,133
1061,Alton Towers Leisure Park,52.9869,-1.8891,West Midlands,Staffordshire,170
1062,Biggleswade,52.0857,-0.2626,Eastern England,Central Bedfordshire,31
1063,Cannock,52.6868,-2.025,West Midlands,Staffordshire,137
1064,Galashiels,55.6237,-2.813,Scottish Border,Scottish Borders,161
1065,Glenrothes,56.2009,-3.1584,Central Scotland,Fife,66
1066,Harrogate,53.9919,-1.5403,Yorkshire & Humber,North Yorkshire,115
1067,Moffat,55.3352,-3.4389,Scottish Border,Dumfries and Galloway,115
1068,Pontefract,53.6915,-1.3071,Yorkshire & Humber,West Yorkshire,60
1069,Ross-On-Wye,51.9141,-2.5811,West Midlands,Herefordshire,41
1070,Solihull,52.4115,-1.7762,West Midlands,West Midlands Conurbation,130
1071,Telford,52.6781,-2.4439,West Midlands,Telford and Wrekin,154
1072,Wakefield,53.6831,-1.5044,Yorkshire & Humber,West Yorkshire,39
1073,Greenhead Youth Hostel,54.9828,-2.5379,North East,Northumberland,164
1074,Hay-On-Wye,52.0759,-3.1239,Wales,Powys,87
1075,Stow-On-The-Wold,51.931,-1.725,South West,Gloucestershire,223
1076,Lynmouth,51.23,-3.83,South West,Devon,100
1077,Lee Valley White Water Centre,51.695,-0.021,Eastern England,Hertfordshire,20
1078,High Mowthorpe,54.105,-0.641,Yorkshire & Humber,North Yorkshire,175
1079,Brooms Barn,52.26,0.569,Eastern England,Suffolk,75
1080,Londonolympic Park South,51.534,-0.009,South East,Greater London,5
1081,Suckley,52.1615,-2.4083,West Midlands,Worcestershire,80
1082,Sumburgh Roost,59.834,-1.3003,Orkney and Shetland,Shetland Islands,0
1083,Sutton,51.3617,-0.1923,South East,Greater London,53
1084,Sutton Leach,53.4238,-2.7089,North West,Merseyside,46
1085,Swadlincote,52.771,-1.5535,East Midlands,Derbyshire,109
1086,Swalwell,54.9584,-1.6847,North East,Gateshead,1
1087,Swanage,50.6078,-1.9594,South West,Dorset,17
1088,Swanage Youth Hostel,50.6043,-1.9678,South West,Dorset,75
1089,Swinton (South Yorkshire),53.4883,-1.316,Yorkshire & Humber,South Yorkshire,43
1090,Tandragee,54.3514,-6.4105,Northern Ireland,County Armagh,38
1091,Tapeley Park,51.0401,-4.1677,South West,Devon,68
1092,Templeton Bridge,50.9171,-3.5969,South West,Devon,166
1093,Ten Mile Bank,52.5474,0.3626,Eastern England,Norfolk,1
1094,Tetchill,52.8871,-2.9044,West Midlands,Shropshire,91
1095,Teviot Water Gardens,55.5375,-2.4642,Scottish Border,Scottish Borders,56
1096,Thatcham,51.4054,-1.265,South East,West Berkshire,77
1097,The Oval Surrey C.C.C.,51.4846,-0.1164,South East,Greater London,1
1098,The County Ground Northamptonshire C.C.C.,52.2447,-0.8699,East Midlands,Northamptonshire,91
1099,Burnage,53.4279,-2.2011,North West,Greater Manchester,48
1100,Burnham Market,52.9449,0.7286,Eastern England,Norfolk,8
1101,Burnham-On-Sea,51.2397,-2.9926,South West,Somerset,4
1102,Busby,55.7786,-4.2777,Western Scotland,East Renfrewshire,90
1103,Bushbury,52.6187,-2.1155,West Midlands,West Midlands Conurbation,133
1104,Harpur Hill,53.2466,-1.907,East Midlands,Derbyshire,308
1105,Caerphilly,51.5784,-3.2168,Wales,Caerphilly,80
1106,Cairn Of Claise,56.8955,-3.339,Eastern Scottish Highlands,Aberdeenshire,1064
1107,Cairn Toul,57.0516,-3.711,Eastern Scottish Highlands,Aberdeenshire,1291
1108,Caldicot,51.5911,-2.7495,Wales,Monmouthshire,10
1109,Camborne,50.2122,-5.2937,South West,Cornwall,103
1110,Cambridge University Botanic Garden,52.1937,0.1268,Eastern England,Cambridgeshire,11
1111,Camperdown,55.0425,-1.5758,North East,North Tyneside,67
1112,Canvey Island,51.5166,0.5801,Eastern England,Essex,2
1113,Capel-Y-Ffin Youth Hostel,51.9847,-3.0923,Wales,Powys,535
1114,Carbrook,53.4054,-1.4204,Yorkshire & Humber,South Yorkshire,34
1115,Cardiff,51.4812,-3.1778,Wales,Cardiff,11
1116,Cardiff City F.C.,51.4724,-3.2018,Wales,Cardiff,9
1117,Cardonald,55.8476,-4.3561,Western Scotland,Glasgow,20
1118,Carlisle Park (Morpeth),55.1631,-1.6889,North East,Northumberland,50
1119,Leek,53.1089,-2.0219,West Midlands,Staffordshire,168
1120,Leicester Forest East,52.6225,-1.2225,East Midlands,Leicestershire,101
1121,Leominster,52.2253,-2.7414,West Midlands,Herefordshire,84
1122,Letchworth Garden City,51.9792,-0.2208,Eastern England,Hertfordshire,77
1123,Leverton,53.0064,0.086,East Midlands,Lincolnshire,3
1124,Lifford,52.4204,-1.9164,West Midlands,West Midlands Conurbation,132
1125,Little Horton,53.784,-1.7835,Yorkshire & Humber,West Yorkshire,163
1126,Little Moreton Hall,53.1242,-2.245,North West,Cheshire East,100
1127,Little Weston,51.0296,-2.5454,South West,Somerset,45
1128,Llanberis,53.1178,-4.1263,Wales,Gwynedd,126
1129,Llandaff North,51.5053,-3.2253,Wales,Cardiff,22
1130,Llanddwyn (Newborough),53.1393,-4.3867,Wales,Isle of Anglesey,0
1131,Llandeilo,51.889,-3.9865,Wales,Carmarthenshire,28
1132,The Flambards Experience,50.0788,-5.2655,South West,Cornwall,34
1133,The Ford County Ground Essex C.C.C.,51.7334,0.4709,Eastern England,Essex,24
1134,The Point,54.067,-4.741,North West,none,0
1135,Hampshire C.C.C.,50.9233,-1.3255,South East,Hampshire,58
1136,Thurlby Youth Hostel,52.7354,-0.3704,East Midlands,Lincolnshire,11
1137,Thurnham Hall,53.9839,-2.8182,North West,Lancashire,20
1138,Thursford,52.865,0.9575,Eastern England,Norfolk,81
1139,Thuxton,52.6217,1.0018,Eastern England,Norfolk,43
1140,Tickhill,53.4319,-1.1118,Yorkshire & Humber,South Yorkshire,20
1141,Tiree Airport,56.4978,-6.8738,Western Scotland,Argyll and Bute,8
1142,Toll Creagach,57.3062,-5.0015,Northern Scottish Highlands,Highland,1054
1143,Tonbridge,51.1946,0.2773,South East,Kent,21
1144,Tonge Fold,53.5805,-2.3992,North West,Greater Manchester,83
1145,Top Of Hebers,53.5586,-2.1953,North West,Greater Manchester,108
1146,Carmyle,55.8315,-4.155,Western Scotland,Glasgow,22
1147,Carn An Fhidhleir,56.9384,-3.8009,Central Scotland,Highland,994
1148,Carn An T-Sagairt Mor,56.9433,-3.3013,Eastern Scottish Highlands,Aberdeenshire,1047
1149,Carn Dearg (939m),56.7625,-4.5873,Northern Scottish Highlands,Highland,939
1150,Carn Liath (Highland),56.9794,-4.5111,Northern Scottish Highlands,Highland,1006
1151,Carn Liath (Perth & Kinross),56.8073,-3.742,Central Scotland,Perth and Kinross,975
1152,Carn Mairg,56.6348,-4.1442,Central Scotland,Perth and Kinross,1042
1153,Carn Nan Gobhar (Glen Strathfarrar),57.4529,-4.8715,Northern Scottish Highlands,Highland,992
1154,Carnoustie Golf Links,56.4923,-2.7238,Central Scotland,Angus,3
1155,Carradale Garden,55.5838,-5.4807,Western Scotland,Argyll and Bute,3
1156,Castle Ashby,52.2258,-0.7353,East Midlands,Northamptonshire,78
1157,Castlehead,55.8364,-4.4374,Western Scotland,Renfrewshire,30
1158,Castleton Youth Hostel,53.3377,-1.7784,East Midlands,Derbyshire,312
1159,Castletown (Isle Of Man),54.0761,-4.6557,North West,none,15
1160,Cathkin,55.8064,-4.1984,Western Scotland,South Lanarkshire,115
1161,Catmore,51.519,-1.3465,South East,West Berkshire,177
1162,Chalfont St. Peter,51.6046,-0.5528,South East,Buckinghamshire,59
1163,Chapel Amble,50.5445,-4.8266,South West,Cornwall,11
1164,Chapel St. Leonards,53.2235,0.3387,East Midlands,Lincolnshire,4
1165,Chapel-En-Le-Frith,53.3254,-1.908,East Midlands,Derbyshire,218
1166,Charlbury,51.8741,-1.4783,South East,Oxfordshire,118
1167,Llanfyllin,52.7659,-3.2745,Wales,Powys,146
1168,Llangefni,53.2555,-4.3102,Wales,Isle of Anglesey,13
1169,Llangollen,52.9689,-3.1703,Wales,Denbighshire,85
1170,Llangorse Lake,51.9286,-3.2632,Wales,Powys,156
1171,Llantwit Major,51.4088,-3.484,Wales,Vale of Glamorgan,46
1172,Loch Mullardoch,57.3267,-5.0573,Northern Scottish Highlands,Highland,247
1173,Loch Torridon,57.5915,-5.7719,Northern Scottish Highlands,Highland,0
1174,London Ashford Airport,50.9516,0.9454,South East,Kent,2
1175,London Biggin Hill Airport,51.3264,0.0322,South East,Greater London,176
1176,Londonderry (West Midlands),52.4857,-1.9842,West Midlands,West Midlands Conurbation,185
1177,Long Sutton,52.789,0.1215,East Midlands,Lincolnshire,2
1178,Torosay Castle,56.4562,-5.6875,Western Scotland,Argyll and Bute,16
1179,Torridon Youth Hostel,57.5447,-5.5035,Northern Scottish Highlands,Highland,19
1180,Totley Rise,53.3184,-1.5205,Yorkshire & Humber,South Yorkshire,142
